Notes,NAME,Common Name,Common_name_final,Common Name2,Name_matched_rank,Name_matched_accepted_family,Genus_matched,Specific_epithet_matched,Unmatched_terms,Taxonomic_status,Name_matched_url,Habit_pfaf,Habit_trop,Habit_Combined,Evergreen,Herb,Annual,Woodiness,N_Fixing,Height_pfaf,Height_trop,height (KEW),Growth,cultivation_trop,Polli,Height_combined,Min Rainfall,Max Rainfall,Min T°,max T°,,Soil,Shade,Moisture,Hardiness,Weed,fao_name_old,fao_group_old,fao_group,FAO_DB_africa,FAO_DB_Timber,FAO_spice,FAO_II,Ecocrop,FAO_GROUPII,FAO_Khoury,Timber,Medicinal,Alim,Part,alim_tropMEAN,medi_tropMEAN,other_tropMEAN,Profile,Hazards,Source,IUCN,Habitats,Range,Native_to,pollinators_trop,
,Acacia saligna,"Blue-Leaved Wattle, Orange wattle",,"Blue-Leaved Wattle, Orange wattle",species,Fabaceae,Acacia,saligna,NA,Accepted,http://www.tropicos.org/Name/13024476,Shrub,Evergreen Tree,Evergreen Tree,Evergreen,Shrub,Perennial,Woody,Acacia,6,5.00  ,NA,Fast,"Cultivated, Ornamental, Wild",insects,5,350,600,23,36,,light (sandy) -medium -  heavy (clay),No shade,Dry- Moist,07 -> 10,No,"Blue-Leaved Wattle, Orange wattle",NA,#N/A,#N/A,#N/A,#N/A,#N/A,https://www.researchgate.net/publication/352707168_Multipurpose_benefits_of_Acacia_saligna_in_the_drylands_of_northern_Ethiopia,multipurpose,#N/A,NA,NA,NA,NA,1.66666666666667,1.33333333333333,3.66666666666667,alimmediother,None known,pfaf.org,LC - least concern,"Sandy, coastal plains, but also in swampy sites and riverbanks to small, rocky hills (often granitic), on poor acid or calcareous sands, under the most dry and adverse soil conditions[269].",Australia - W. Australia.,,Insects,#N/A
,Acacia spp.,NA,,#N/A,genus,Fabaceae,Acacia,NA,spp.,Accepted,http://www.tropicos.org/Name/40003076,NA,NA,Tree,NA,Tree,Perennial,woody ,Acacia,NULL,NA,NA,NA,NA,NA,NULL,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,NO_FAO_GROUP,#N/A,NA,NA,NA,NA,NA,NA,NA,alimmediother,NA,NA,NA,NA,NA,,NA,#N/A
,Acer campestre,"Field Maple, Hedge maple",,"Field Maple, Hedge maple",species,Sapindaceae,Acer,campestre,NA,Accepted,http://www.tropicos.org/Name/200021,Tree,NA,Deciduous Tree,Deciduous,tree,Perennial,Woody,No,6-10,NA,NA,Fast,"Ornamental, Wild",insects,15,NA,NA,NA,NA,,light (sandy) -medium -  heavy (clay),Semi-shade/full sun,Moist,04->08,No,"Field Maple, Hedge maple",NA,#N/A,#N/A,Timber,#N/A,,,Timber,#N/A,Timber,,,Woody shoot,2,1,3,other,None known,pfaf.org,LC - least concern,"Open deciduous woods, hedgerows and scrub, usually on basic soils[17].","Europe, including Britain, from Sweden to Spain and east to western Asia and the Caucasus.",,insects,#N/A
,Acer pseudoplatanus,"Sycamore, Great Maple, Scottish Maple, Planetree Maple",,"Sycamore, Great Maple, Scottish Maple, Planetree Maple",species,Sapindaceae,Acer,pseudoplatanus,NA,Accepted,http://www.tropicos.org/Name/200008,Tree,NA,Deciduous Tree,Deciduous,tree,Perennial,Woody,No,30,NA,NA,Fast,Wild,bees,30,NA,NA,NA,NA,,light (sandy) -medium -  heavy (clay),Semi-shade/full sun,Moist,04->07,Yes,"Sycamore, Great Maple, Scottish Maple, Planetree Maple",NA,#N/A,#N/A,Timber,#N/A,,,Timber,#N/A,Timber,,,Timber mainly,2,1,4,other,None known,pfaf.org,LC - least concern,"Found in woodland, hedgerows etc. in Britain, in all but very poor soils[17].",Europe. Extensively naturalized in Britain[17].,,bees,#N/A
,Acer rubrum,"Red Maple, Drummond's maple, Swamp Maple",,"Red Maple, Drummond's maple, Swamp Maple",species,Sapindaceae,Acer,rubrum,NA,Accepted,http://www.tropicos.org/Name/200014,Tree,NA,Deciduous Tree,Deciduous,tree,Perennial,Woody,No,30,NA,NA,Fast,"Ornamental, Wild",Wind,30,NA,NA,NA,NA,,light (sandy) -medium -  heavy (clay),Semi-shade/full sun,Moist,04 -> 10,Yes,"Red Maple, Drummond's maple, Swamp Maple",NA,#N/A,#N/A,Timber,#N/A,,,Timber,#N/A,Timber,,Alim,"Woody shoot, sap",3,1,3,alimother,None known,pfaf.org,LC - least concern,"Usually found in swamps and uplands, it also occasionally grows on dry rocky hillsides and sand dunes[43, 82].","Eastern N. America - Quebec to Florida, west to Texas, Minnesota and Ontario.",,Wind,#N/A
,Acer saccharinum,"Silver Maple, River Maple, Soft Maple",,"Silver Maple, River Maple, Soft Maple",species,Sapindaceae,Acer,saccharinum,NA,Accepted,http://www.tropicos.org/Name/200038,Tree,NA,Deciduous Tree,Deciduous,tree,Perennial,Woody,No,30,NA,NA,Fast,"Ornamental, Wild",Wind,30,NA,NA,NA,NA,,light (sandy) -medium -  heavy (clay),Semi-shade/full sun,Moist,03 -> 09,No,"Silver Maple, River Maple, Soft Maple",NA,#N/A,#N/A,Timber,#N/A,,,Timber,#N/A,Timber,,,Timber mainly,3,1,4,alimother,None known,pfaf.org,LC - least concern,"Banks of rivers, usually in sandy soils[43, 82]. Trees are occasionally found in deep often submerged swamps[82].","Eastern N. America - New Brunswick to Florida, west to Oklahoma, Kansas and Nebraska.",,wind,#N/A
,Achillea millefolium,"Yarrow, Boreal yarrow, California yarrow, Giant yarrow, Coast yarrow, Western yarrow, Pacific yarrow",,"Yarrow, Boreal yarrow, California yarrow, Giant yarrow, Coast yarrow, Western yarrow, Pacific yarrow",species,Asteraceae,Achillea,millefolium,NA,Accepted,http://www.tropicos.org/Name/2700015,Perennial/ Herb.,NA,"Perennial, not climbing",NA,herb,Perennial,herbaceous,No,"0,6",NA,NA,Fast,"Cultivated, Ornamental, Wild",insects,0.6,,,,,,light (sandy) -medium -  heavy (clay),Semi-shade/full sun,Dry- Moist,04->08,Yes,"Yarrow, Boreal yarrow, California yarrow, Giant yarrow, Coast yarrow, Western yarrow, Pacific yarrow",NA,#N/A,#N/A,#N/A,Essential oil,,,Essential oil,#N/A,,medicinal,,Essential oil,3,4,4,alimmediother,"Extended use of this plant, either medicinally or in the diet, can cause allergic skin rashes or lead to photosensitivity in some people[21, 238]. Theoretically yarrow can enhance the sedative effects of other herbs (e.g. valerian, kava, German chamomile, hops) & sedative drugs. Possible sedative & diuretic effects from ingesting large amounts [301].",pfaf.org,LC - least concern,"Meadows, pastures, lawns etc. on all but the poorest soils[17].","Europe, including Britain, north to 71¬¨‚àû, and east to western Asia.",,insects,#N/A
Only control species,achras sapota,,,,,Sapotaceae,Achras,sapota,,Synonym,,,,Evergreen Tree,Evergreen,Tree,Perennial,Woody,No,,,,,,,,,,,,,,,,,,,#N/A,,#N/A,#N/A,#N/A,#N/A,,,#N/A,Other,,Alim,Fruits,5,2,4,alimother,,,NA,,,,,
Only control species,achras zapota,,,,,Sapotaceae,Achras,zapota,,,,,,Evergreen Tree,Evergreen,Tree,Perennial,Woody,No,,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,Other,,Alim,,5,2,4,alimother,,,LC - least concern,,,,,
,Acrocarpus fraxinifolius,"Pink Cedar, Shingle Tree",,"Pink Cedar, Shingle Tree",species,Fabaceae,Acrocarpus,fraxinifolius,NA,Accepted,http://www.tropicos.org/Name/13046455,Tree,Deciduous Tree,Deciduous Tree,Deciduous,tree,Perennial,Woody,Acrocarpus,30,30.00  ,NA,Fast,"Cultivated, Ornamental, Wild","Bees, insects",30,1500,2000,19,28,,Medium,No shade,Moist,10 ->  12,No,"Pink Cedar, Shingle Tree",NA,#N/A,#N/A,Timber,#N/A,,,Timber,#N/A,Timber,,,Timber mainly,0,0,4,other,None known,pfaf.org,NA,"Evergreen gallery forest[303 ]. Montane rain forest and deciduous monsoon forest[200 ]. Sparse forests at elevations of 1,000 - 1,200 metres in southern China[266 ].","E. Asia - China, Indian subcontinent, Myanmar Thailand, Laos, Malaysia, Indonesia.",,"Bees, Insects",#N/A
,Adansonia digitata,"Baobab, Judas Fruit, Monkey Bread Tree",Baobab,"Baobab, Judas Fruit, Monkey Bread Tree",species,Malvaceae,Adansonia,digitata,NA,Accepted,http://www.tropicos.org/Name/3900201,Tree,Deciduous Tree,Deciduous Tree,Deciduous,tree,Perennial,Woody,No,20,20.00  ,NA,Slow,"Semi-cultivated, Wild",insects,20,NA,NA,NA,NA,,light (sandy) -medium -  heavy (clay),No shade,Dry- Moist,10 ->  12,No,"Fruit, tropical (fresh) nes",Fruits,#N/A,#N/A,#N/A,#N/A,,,Fruits,#N/A,Other,,Alim,Woody Fruits,3,3,4,alimmediother,The bark is boiled for days to extract a substance poisonous to ants[303 ].,pfaf.org,LC - least concern,"Characteristic of thorn woodlands of the African savannahs, which are characterized by low elevations with 4 - 10 dry months a year split into 1 or 2 periods[303 ].","Tropical Africa - Mauritania to Sudan, south to Angola and Tanzania.",,"Bats, Bush Babies",#N/A
,Aegle marmelos,"Bael Tree, Golden Apple, Bengal Quince",,"Bael Tree, Golden Apple, Bengal Quince",species,Rutaceae,Aegle,marmelos,NA,Accepted,http://www.tropicos.org/Name/28100016,Tree,Deciduous Tree,Deciduous Tree,Deciduous,tree,Perennial,Woody,No,10,10.00  ,NA,Slow,"Cultivated, Wild",insects,10,NA,NA,NA,NA,,light (sandy) -medium -  heavy (clay),No shade,Moist,10 ->  12,No,Apples,Fruits,#N/A,#N/A,#N/A,Essential oil,,,Fruits,#N/A,Other,,Alim,Woody Fruits,3,3,4,alimmediother,The leaves are said to cause abortion and sterility in women[ 303 ]. The bark is used as a fish poison[ 303 ].,pfaf.org,NT - near threatened,"Dry forests on hills and plains, also in mixed deciduous and dry dipterocarp forests [303].","E. Asia - India, Nepal, Myanmar, Andaman and Nicobar Islands.",,"insects, wind",#N/A
,Afzelia bipindensis,NA,,apa,species,Fabaceae,Afzelia,bipindensis,NA,Accepted,http://www.tropicos.org/Name/29203874,"Perennial, Not climbing, Tree",Tree,Deciduous Tree,Deciduous,Tree,Perennial,Woody,Afzelia,15-40 ,25.00  ,NA,NULL,Wild,Sphingidae,25,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,#N/A,#N/A,Seed spices and condiments,Timber,#N/A,,,"spices, Timber",#N/A,Timber,,Alim,other?,0,2,3,other,NA,NA,VU - vulnerable,NA,NA,,Sphingidae,#N/A
,Ageratum conyzoides,"Goatweed, Tropical whiteweed",,"Goatweed, Tropical whiteweed",species,Asteraceae,Ageratum,conyzoides,NA,Accepted,http://www.tropicos.org/Name/2700026,NA,NA,NA,herbaceous,herb,Annual,Herbaceous,No,1,NA,1m,NA,"Ornamental, Wild",insects,1,,,,,,NA,Full sun,Moist,08-> 11,NO,NA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,https://www.sciencedirect.com/topics/pharmacology-toxicology-and-pharmaceutical-science/ageratum-conyzoides,medicinal,#N/A,NA,NA,NA,NA,0.666666666666667,3,2,alimmedi,none known,NA,NA,"A common weed of cultivated ground, having spread from its native range to all areas of the Tropics within 20° of the Equator, to an altitude of 2,500 metres[200].",S. America.,,insects,#N/A
,Ageratum houstonianum,"Ageratum, Bluemink, Floss Flower, Garden",,"Ageratum, Bluemink, Floss Flower, Garden",species,Asteraceae,Ageratum,houstonianum,NA,Accepted,http://www.tropicos.org/Name/2700027,Annual,Annual,Annual,herbaceous,herb,Annual,Herbaceous,No,"0,3",0.40  ,NA,Medium,"Ornamental, Wild",Lepidoptera,0.4,,,,,,light (sandy) -medium -  heavy (clay),No shade,Dry- Moist,Coming soon,No,NA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,https://indianbotsoc.org/assets/upload/uploaded/69eb90c06e898a4ee7c90152d44af5a6.pdf,medicinal,#N/A,NA,NA,NA,NA,0,1.66666666666667,1.33333333333333,mediother,None known,pfaf.org,NA,Pine woods and cultivated ground[72].,South-western N. America - Mexico. An occasional garden escape in Britain[17].,,Lepidoptera,#N/A
,Agrostis gigantea,NA,,"black bent, redtop",species,Poaceae,Agrostis,gigantea,NA,Accepted,http://www.tropicos.org/Name/25502394,NA,NA,Herb,NA,herb,Perennial,Herbaceous,No,NULL,NA,40-120 cm long,NA,NA,Wind,1.3,,,,,,NA,NA,NA,03 -< 10,NA,,#N/A,,#N/A,#N/A,#N/A,,https://gobotany.nativeplanttrust.org/species/agrostis/gigantea/,Erosion control,#N/A,NA,NA,NA,NA,"0,00","0,00","4,00",other,none known,NA,NA,"Grasslands and pastures. Dominant on poor and acidic soils and is well adapted to grazing pressure. Invades ruderal, disturbed areas, heathland, woodland, scrub and sand dune habitats. Abundant in wetlands and cultivated areas. In Australia, it is reported from dry coastal vegetation, heathy woodlands, lowland grasslands, grassy woodlands, dry and damp sclerophyll forests, riparian vegetation and alpine and sub-alpine vegetation, including montane peatlands and swamps [1-8].","Native to Eurasia, from Ireland and Britain in the west, through Siberia and Central Asia, as far east as China and from Scandinavia south to the Mediterranean, including Tunisia in North Africa. Introduced and naturalized in the Americas (USA, Canada, Greenland, Brazil, Argentina and Chile), southern Africa, Australia and New Zealand [1-8].",,wind,#N/A
,Ailanthus excelsa,NA,,tree of heaven,species,Simaroubaceae,Ailanthus,excelsa,NA,Accepted,https://wcvp.science.kew.org/taxon/813527-1,NA,Deciduous Tree,Deciduous Tree,Deciduous,Tree,Perennial,Woody,No,18-25 ,20.00  ,NA,NULL,"Cultivated, Wild",NA,20,500,2500,0,45,,NA,NA,NA,NA,NA,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,ecocrop,Firewood,#N/A,match industry,NA,NA,Shoot,0,2,2,,NA,NA,NA,NA,NA,, NA,#N/A
,Ailanthus triphysa,NA,,halmaddi,species,Simaroubaceae,Ailanthus,triphysa,NA,Accepted,https://wcvp.science.kew.org/taxon/813557-1,NA,Evergreen Tree,Evergreen Tree,Evergreen,Tree,Perennial,Woody,No,45,25.00  ,NA,NULL,"Ornamental, Wild",insects,25,1920,Na,27,NA,,NA,NA,NA,NA,NA,,#N/A,#N/A,#N/A,Timber,#N/A,,,Timber,#N/A,Timber,,,Woody shoot,0,2,2,,NA,NA,NA,NA,NA,,small insects,#N/A
,Albizia adianthifolia,NA,,flat-crown,species,Fabaceae,Albizia,adianthifolia,NA,Accepted,http://www.tropicos.org/Name/13054859,"Perennial, Not climbing, Tree",Deciduous Tree,Deciduous Tree,Deciduous,Tree,Perennial,Woody,Albizia,4-30  ,15.00  ,NA,NULL,"Cultivated, Ornamental, Wild",insects,15,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,#N/A,#N/A,#N/A,Timber,#N/A,,,Timber,#N/A,Timber,,,Woody shoot,2,3,3,mediother,NA,NA,LC - least concern,NA,NA,,Insects,#N/A
,albizia adinocephala,,,NA,species,Fabaceae,Albizia,adinocephala,NA,Accepted,http://www.worldfloraonline.org/taxon/wfo-0000165530,,Tree,Deciduous Tree,Deciduous,Tree,Perennial,Woody,Albizia,character(0),15,,NA,"Cultivated , wild",NA,15,TODO,TODO,TODO,TODO,,NA,NA,NA,NA,NA,,#N/A,#N/A,#N/A,#N/A,#N/A,,https://www.cabidigitallibrary.org/doi/full/10.1079/cabicompendium.120102,"Timber, fuelwood",#N/A,,,,,0.0,0.0,2,,NA,,LC - least concern,NA,NA,,NA,#N/A
,Albizia chinensis,"Albizi, Bonara Vazaha, Siran",,"Albizi, Bonara Vazaha, Siran",species,Fabaceae,Albizia,chinensis,NA,Accepted,http://www.tropicos.org/Name/13054909,"Perennial, Not climbing, Tree",Deciduous Tree,Deciduous Tree,Deciduous,Tree,Perennial,Woody,Albizia,NULL,30.00  ,NA,NULL,"Cultivated, Ornamental, Wild",insects,30,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,NO_FAO_GROUP,#N/A,NA,NA,NA,NA,0,0,3,other,NA,NA,NA,NA,NA,,Insects,#N/A
,Albizia coriaria,Mugavu,,Mugavu,species,Fabaceae,Albizia,coriaria,NA,Accepted,http://www.tropicos.org/Name/13025021,"Perennial, Not climbing, Tree",Deciduous Tree,Deciduous Tree,Deciduous,Tree,Perennial,Woody,Albizia,6-36  ,30.00  ,NA,NULL,"Ornamental, Wild",bees,30,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,NO_FAO_GROUP,#N/A,NA,NA,NA,NA,0,2,2,,NA,NA,LC - least concern,NA,NA,,Bees,#N/A
,Albizia ferruginea,Awiemfo-Samina,,Awiemfo-Samina,species,Fabaceae,Albizia,ferruginea,NA,Accepted,http://www.tropicos.org/Name/13025029,"Perennial, Not climbing, Tree",Deciduous Tree,Deciduous Tree,Deciduous,Tree,Perennial,Woody,Albizia,45,35.00  ,NA,NULL,"Ornamental, Wild","Bees, insects",35,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,#N/A,#N/A,#N/A,Timber,#N/A,,,Timber,#N/A,Timber,,,Woody shoot,0,2,2,,NA,NA,NT - near threatened,NA,NA,,"Bees, Insects",#N/A
,Albizia gummifera,NA,,peacock flower,species,Fabaceae,Albizia,gummifera,NA,Accepted,http://www.tropicos.org/Name/13054911,NA,Deciduous Tree,Deciduous Tree,Deciduous,Tree,Perennial,Woody,Albizia,30,25.00  ,NA,NULL,"Ornamental, Wild","Bees, insects",25,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,#N/A,#N/A,#N/A,Timber,#N/A,,,Timber,#N/A,Timber,,,Woody shoot,2,2,2,,NA,NA,LC - least concern,NA,NA,,"Bees, Insects",#N/A
,Albizia julibrissin,"Mimosa, Silktree, Mimosa Tree,",,"Mimosa, Silktree, Mimosa Tree,",species,Fabaceae,Albizia,julibrissin,NA,Accepted,http://www.tropicos.org/Name/13025045,"Perennial, Not climbing, Tree",Deciduous Tree,Deciduous Tree,Deciduous,Tree,Perennial,Woody,Albizia,12,12.00  ,NA,Fast,"Cultivated, Ornamental, Wild","Bees, Hummingbirds, Butterflies",12,NA,NA,NA,NA,,light (sandy) -medium -  heavy (clay),No shade,Dry- Moist,06 -> 09,Yes,NA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,NO_FAO_GROUP,#N/A,NA,NA,NA,NA,2,2,2,,None known,pfaf.org,EN-Endangered,"Open sunny ravines, forests and by rivers up to 2100 metres in the Himalayas[51, 158].",W. Asia and E. Asia - Iran to China.,,"Bees, Hummingbirds, Butterflies",#N/A
